iter	Passed	Remaining
590	6735	4661
591	6743	4647
592	6753	4635
593	6762	4622
594	6773	4610
595	6783	4598
596	6792	4585
597	6803	4573
598	6811	4560
599	6822	4548
600	6831	4535
601	6840	4522
602	6851	4510
603	6859	4497
604	6872	4486
605	6882	4474
606	6890	4461
607	6901	4449
608	6910	4436
609	6921	4425
610	6931	4413
611	6940	4400
612	6951	4388
613	6959	4375
614	6970	4363
615	6980	4351
616	6988	4338
617	6999	4326
618	7008	4314
619	7019	4302
620	7029	4290
621	7037	4277
622	7048	4265
623	7056	4252
624	7067	4240
625	7075	4227
626	7085	4215
627	7095	4203
628	7103	4189
629	7114	4178
630	7123	4165
631	7133	4153
632	7144	4142
633	7153	4129
634	7164	4117
635	7173	4105
636	7182	4093
637	7193	4081
638	7202	4068
639	7212	4057
640	7221	4044
641	7231	4032
642	7242	4020
643	7250	4008
644	7260	3996
645	7271	3984
646	7281	3972
647	7292	3961
648	7301	3949
649	7312	3937
650	7320	3924
651	7331	3912
652	7342	3901
653	7351	3889
654	7362	3877
655	7372	3865
656	7381	3853
657	7392	3842
658	7401	3829
659	7413	3818
660	7423	3807
661	7431	3794
662	7442	3782
663	7451	3770
664	7462	3759
665	7472	3747
666	7481	3735
667	7491	3723
668	7500	3710
669	7510	3699
670	7520	3687
671	7529	3675
672	7539	3663
673	7548	3650
674	7559	3639
675	7567	3626
676	7577	3615
677	7588	3603
678	7597	3591
679	7607	3579
680	7615	3567
681	7625	3555
682	7636	3544
683	7645	3531
684	7655	3520
685	7663	3507
686	7676	3497
687	7686	3485
688	7694	3473
689	7705	3461
690	7713	3449
691	7724	3437
692	7734	3426
693	7743	3414
694	7753	3402
695	7761	3390
696	7772	3378
697	7782	3367
698	7792	3355
699	7802	3343
700	7811	3331
701	7821	3320
702	7832	3308
703	7842	3297
704	7853	3286
705	7861	3273
706	7872	3262
707	7882	3251
708	7891	3238
709	7902	3227
710	7911	3215
711	7920	3203
712	7931	3192
713	7939	3180
714	7950	3169
715	7959	3157
716	7969	3145
717	7979	3134
718	7988	3122
719	7998	3110
720	8007	3098
721	8018	3087
722	8027	3075
723	8036	3063
724	8046	3052
725	8055	3040
726	8067	3029
727	8078	3018
728	8087	3006
729	8096	2994
730	8106	2983
731	8117	2971
732	8127	2960
733	8136	2948
734	8147	2937
735	8155	2925
736	8166	2914
737	8177	2903
738	8186	2891
739	8197	2880
740	8207	2868
741	8216	2856
742	8227	2845
743	8236	2834
744	8246	2822
745	8257	2811
746	8266	2799
747	8276	2788
748	8286	2776
749	8296	2765
750	8306	2753
751	8314	2742
752	8326	2731
753	8335	2719
754	8347	2708
755	8359	2697
756	8367	2685
757	8378	2674
758	8388	2663
759	8397	2651
760	8408	2640
761	8417	2629
762	8427	2617
763	8438	2606
764	8448	2595
765	8458	2583
766	8469	2572
767	8480	2561
768	8490	2550
769	8499	2538
770	8509	2527
771	8520	2516
772	8529	2504
773	8540	2493
774	8549	2482
775	8560	2471
776	8571	2460
777	8580	2448
778	8591	2437
779	8599	2425
780	8609	2414
781	8620	2403
782	8628	2391
783	8639	2380
784	8647	2368
785	8658	2357
786	8668	2346
787	8677	2334
788	8688	2323
789	8698	2312
790	8707	2300
791	8718	2289
792	8727	2278
793	8738	2267
794	8747	2255
795	8757	2244
796	8767	2233
797	8775	2221
798	8786	2210
799	8794	2198
800	8804	2187
801	8814	2176
802	8822	2164
803	8833	2153
804	8842	2141
805	8852	2130
806	8861	2119
807	8874	2108
808	8885	2097
809	8895	2086
810	8904	2075
811	8915	2064
812	8924	2052
813	8934	2041
814	8944	2030
815	8953	2018
816	8964	2007
817	8973	1996
818	8984	1985
819	8992	1973
820	9003	1962
821	9012	1951
822	9021	1940
823	9031	1929
824	9040	1917
825	9051	1906
826	9061	1895
827	9069	1884
828	9080	1873
829	9090	1861
830	9101	1850
831	9111	1839
832	9120	1828
833	9130	1817
834	9142	1806
835	9151	1795
836	9161	1784
837	9170	1772
838	9180	1761
839	9190	1750
840	9199	1739
841	9209	1728
842	9218	1716
843	9229	1705
844	9240	1694
845	9250	1683
846	9260	1672
847	9269	1661
848	9279	1650
849	9289	1639
850	9298	1628
851	9309	1617
852	9321	1606
853	9330	1595
854	9340	1584
855	9349	1572
856	9359	1561
857	9370	1550
858	9378	1539
859	9389	1528
860	9397	1517
861	9408	1506
862	9416	1494
863	9427	1483
864	9437	1472
865	9446	1461
866	9456	1450
867	9465	1439
868	9475	1428
869	9485	1417
870	9494	1406
871	9504	1395
872	9513	1384
873	9524	1373
874	9533	1361
875	9543	1350
876	9553	1339
877	9562	1328
878	9571	1317
879	9579	1306
880	9591	1295
881	9601	1284
882	9609	1273
883	9619	1262
884	9628	1251
885	9639	1240
886	9651	1229
887	9660	1218
888	9670	1207
889	9679	1196
890	9689	1185
891	9698	1174
892	9707	1163
893	9717	1152
894	9726	1141
895	9736	1130
896	9745	1119
897	9754	1108
898	9765	1097
899	9773	1085
900	9783	1074
901	9791	1063
902	9802	1052
903	9809	1041
904	9821	1030
905	9832	1020
906	9840	1009
907	9851	998
908	9861	987
909	9869	976
910	9879	965
911	9887	954
912	9899	943
913	9907	932
914	9918	921
915	9928	910
916	9936	899
917	9947	888
918	9955	877
919	9965	866
920	9973	855
921	9983	844
922	9993	833
923	10002	822
924	10012	811
925	10021	800
926	10031	789
927	10042	779
928	10050	768
929	10061	757
930	10075	746
931	10083	735
932	10094	724
933	10103	713
934	10113	703
935	10121	692
936	10132	681
937	10142	670
938	10150	659
939	10161	648
940	10170	637
941	10181	626
